esp_abeast_id,serial_port,chip,threshold,dac,hits_per_s,count0,count1,dt_s,mu_est,sigma_est,r2_est
2,COM6,1,0,128,5.796671646993767,0,58,10.005741834640503,192,33,-21.44610759705065
2,COM6,1,0,127,5.196971750507774,0,52,10.005826950073242,191,33,-21.483640277419635
2,COM6,1,0,126,6.196340080996356,0,62,10.005906581878662,191,33,-21.605155695140418
2,COM6,1,0,125,5.097118161676264,0,51,10.005653858184814,191,34,-21.640967720644714
2,COM6,1,0,124,6.496437286127675,0,65,10.005484104156494,190,34,-21.790555107207375
2,COM6,1,0,123,5.597040215683368,0,56,10.005288124084473,190,34,-21.874128120688926
2,COM6,1,0,122,6.495958982425464,0,65,10.006220817565918,190,34,-22.028575827095327
2,COM6,1,0,121,4.197759955803614,0,42,10.005336284637451,189,35,-21.993643797633432
2,COM6,1,0,120,4.997427000139522,0,50,10.005148649215698,189,35,-22.037266013485137
2,COM6,1,0,119,5.397099880287602,0,54,10.005373477935791,189,35,-22.118369973483766
2,COM6,1,0,118,3.2982119073733864,0,33,10.00542140007019,189,35,-22.007119878557603
2,COM6,1,0,117,4.797228583197606,0,48,10.00577712059021,188,35,-22.046857010517503
2,COM6,1,0,116,4.896637395694061,0,49,10.006867170333862,188,36,-22.099050705731866
2,COM6,1,0,115,4.397361774165986,0,44,10.005999565124512,188,36,-22.110615292341343
2,COM6,1,0,114,4.197378879842262,0,42,10.006244659423828,187,36,-22.10820838088567
2,COM6,1,0,113,4.397624783710238,0,44,10.005401134490967,187,36,-22.128758686938394
2,COM6,1,0,112,3.0980721549214496,0,31,10.00622272491455,187,36,-22.02772174324941
2,COM6,1,0,111,3.99779717706301,0,40,10.005510091781616,187,37,-22.021955117272967
2,COM6,1,0,110,3.598022260589173,0,36,10.005496740341187,186,37,-21.982836009430073
2,COM6,1,0,109,2.9983682452781983,0,30,10.005442142486572,186,37,-21.889487981431788
2,COM6,1,0,108,5.197354547447361,0,52,10.00508999824524,186,37,-22.001861143408853
2,COM6,1,0,107,3.0981254523341812,0,31,10.00605058670044,186,37,-21.92752755860417
2,COM6,1,0,106,2.5986134298191224,0,26,10.005335807800293,186,38,-21.808244265862005
2,COM6,1,0,105,2.5983915796141264,0,26,10.006190061569214,185,38,-21.69621264328789
2,COM6,1,0,104,3.1980401414919637,0,32,10.006128311157227,185,38,-21.650991889146617
2,COM6,1,0,103,3.0979581843364765,0,31,10.006590843200684,185,38,-21.60117243093345
2,COM6,1,0,102,2.198803484660771,0,22,10.005441665649414,185,38,-21.4657499070011
2,COM6,1,0,101,2.1988025415503003,0,22,10.005445957183838,185,38,-21.337737056386015
2,COM6,1,0,100,1.3992049395722193,0,14,10.005682229995728,185,38,-21.1315568558138
2,COM6,1,0,99,1.2991644011009098,0,13,10.006431818008423,184,39,-20.924007769652267
2,COM6,1,0,98,1.7988217585045958,0,18,10.006550073623657,184,39,-20.778925529251936
2,COM6,1,0,97,1.2993193782315462,0,13,10.00523829460144,184,39,-20.58863004902421
2,COM6,1,0,96,1.7990500125961546,0,18,10.005280494689941,184,39,-20.458843618571272
2,COM6,1,0,95,1.6990662294470076,0,17,10.00549578666687,184,39,-20.325530526755866
2,COM6,1,0,94,0.6995393115314693,0,7,10.006585597991943,184,39,-20.094007279476685
2,COM6,1,0,93,0.7995025106424032,0,8,10.006222486495972,184,39,-19.882812276724803
2,COM6,1,0,92,0.3997611423971745,0,4,10.005975008010864,184,39,-19.637672398557694
