chip,threshold,dac,hits_per_s,count0,count1,dt_s,mu_est,sigma_est,r2_est
1,2,227,191.30345154672852,1294228,1296143,10.010274171829224,244,6,0.6633432575781766
1,2,226,75.92346839141558,1296162,1296922,10.010080099105835,244,6,0.6892774680912392
1,2,225,37.56054011250693,1296942,1297318,10.010505676269531,244,6,0.7101653333585776
1,2,224,15.184665106663989,1297333,1297485,10.010098934173584,244,6,0.727338873106919
1,2,223,9.689876730240764,1297501,1297598,10.010447263717651,244,6,0.7417155209292856
1,2,222,4.395518656521078,1297605,1297649,10.010195255279541,244,6,0.753922945838825
1,2,221,2.597427655459583,1297658,1297684,10.00990343093872,244,6,0.7644198266878922
1,2,220,1.3986523690654982,1297693,1297707,10.009635210037231,244,6,0.7735419638597729
1,2,219,0.79921439146648,1297716,1297724,10.009829759597778,244,6,0.781543162919208
1,2,218,0.49948541488021875,1297733,1297738,10.010302305221558,244,6,0.7886182889472635
1,2,217,0.8990794856464358,1297743,1297752,10.010238409042358,244,6,0.7949207239563734
1,2,216,0.29971416315459376,1297761,1297764,10.009536981582642,244,6,0.8005684513037427
1,2,215,0.19979697354294362,1297770,1297772,10.010161638259888,244,6,0.8056592447372724
1,2,214,0.19980126597844708,1297776,1297778,10.009946584701538,244,6,0.8102718087104759
1,2,213,0.09989834401081263,1297782,1297783,10.010175943374634,244,6,0.814470238907626
1,2,212,0.1998035788305778,1297788,1297790,10.009830713272095,244,6,0.818308417481015
1,2,211,0.7992012187411582,1297795,1297803,10.009994745254517,244,6,0.8218324257034699
1,2,210,0.0,1297806,1297806,10.010433912277222,244,6,0.8218324257034699
1,2,209,0.09989952893664517,1297810,1297811,10.010057210922241,244,6,0.8250757676095922
1,2,208,0.0,1297812,1297812,10.009767770767212,244,6,0.8250757676095922
1,2,207,0.1997830743605488,1297814,1297816,10.010858058929443,244,6,0.8280727702392734
1,2,206,0.1998103130568195,1297818,1297820,10.009493350982666,244,6,0.8308501812282529
1,2,205,0.0,1297821,1297821,10.009855031967163,244,6,0.8308501812282529
1,2,204,0.09989355938539381,1297823,1297824,10.010655403137207,244,6,0.8334309157824025
1,2,203,0.09990511845377713,1297825,1297826,10.009497165679932,244,6,0.8358354521728948
1,2,202,0.0,1297826,1297826,10.01125431060791,244,6,0.8358354521728948
1,2,201,0.09989807514601234,1297826,1297827,10.010202884674072,244,6,0.8380812650673853
1,2,200,0.0,1297829,1297829,10.009638547897339,244,6,0.8380812650673853
1,2,199,0.0,1297830,1297830,10.01004409790039,244,6,0.8380812650673853
2,0,255,165640.30020884014,2119756,3777825,10.010057926177979,,,
2,0,254,152897.27491618882,3777893,5308368,10.009825229644775,,,
2,0,253,130546.88165579874,5308437,6615212,10.010005474090576,,,
2,0,252,119498.84626295407,6620826,7817017,10.010063171386719,,,
2,0,251,110069.93138216145,7817090,8918866,10.009781837463379,253,1,-5.311561495458054
2,0,250,99131.59970654947,8918924,9911222,10.00990605354309,253,2,-3.56816881014754
2,0,249,77836.61450813017,9911265,10690387,10.009710788726807,252,2,-1.7423554783971142
2,0,248,61614.43416896387,10690439,11307186,10.009781122207642,252,2,-0.7737080870885016
