source,analysis_mode,chip,threshold,dac,hits_per_s,mu_user_dac,target_hits_requested,target_dac_for_hits,target_hits_found,n_sigma_from_mu,sigma_ref
noise_scan_raw,gaussian,1,2,215,0.19979697354294362,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,214,0.19980126597844708,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,213,0.09989834401081263,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,212,0.1998035788305778,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,211,0.7992012187411582,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,210,0.0,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,209,0.09989952893664517,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,208,0.0,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,207,0.1997830743605488,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,206,0.1998103130568195,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,205,0.0,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,204,0.09989355938539381,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,203,0.09990511845377713,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,202,0.0,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,201,0.09989807514601234,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,200,0.0,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,1,2,199,0.0,240,2.0,220,1.3986523690654982,3.3333333333333335,6.0
noise_scan_raw,gaussian,2,0,255,165640.30020884014,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,254,152897.27491618882,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,253,130546.88165579874,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,252,119498.84626295407,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,251,110069.93138216145,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,250,99131.59970654947,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,249,77836.61450813017,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,248,61614.43416896387,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,247,37230.826680734244,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,246,25490.17857535938,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,245,14508.779473210645,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,244,9331.116501224527,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,243,5456.398465273466,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,242,3271.7490014707046,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,241,11.48810078976844,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,240,6.193711933099383,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,239,2.9970038564513954,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,238,1.8979006504850566,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,237,1.798177858463754,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,236,1.6980788484669613,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,235,0.8990083332170339,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,234,1.1988121929856277,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,233,0.8991030842745511,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,232,0.49950628204501296,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,231,0.7991926719305588,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,230,0.699334979637555,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,229,0.4995293402672286,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,228,0.5994068817183504,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,227,0.7992083380503422,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,226,0.49949314766269515,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,225,0.39959040664784884,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,224,0.3995893121702901,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,223,0.49946519181181287,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,222,0.19979636443178428,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,221,0.49949640739966134,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,220,0.39957313363618924,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,219,0.3995858098823918,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,218,0.3995699647003046,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,217,0.29968514619702535,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,216,0.19980517311167903,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,215,0.09990021896664691,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,214,0.09989120649804979,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,213,0.49947585035435327,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,212,0.39961166925365665,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,211,0.39959663100814213,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,210,0.49945941069442523,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,209,0.09990069485496073,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,208,0.0,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,207,0.19978954073719046,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,206,0.09989831783806936,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,205,0.19979962893028988,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,204,0.0,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,0,203,0.0,255,2.0,238,1.8979006504850566,5.666666666666667,3.0
noise_scan_raw,gaussian,2,1,255,65821.09554634317,247,2.0,224,1.298673151956063,4.6,5.0
