source_file;airgap_mm;energy_eV;energy_std_eV;sensor;chip;threshold;threshold_dac;fit_dac;fit_r2;points;status
tribeast1_IC3_dual_scan_long_20260608_111824.csv;34.0;1431287.73;64278.85;Capteur 2;3;1;160;189.0000;0.923859;141;Manuel depuis fit 189.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;34.0;1431287.73;64278.85;Capteur 2;3;2;162;171.0000;0.973592;136;Manuel depuis fit 171.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;35.0;1229292.28;69149.41;Capteur 2;3;0;181;189.0000;0.970653;126;Manuel depuis fit 189.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;35.0;1229292.28;69149.41;Capteur 2;3;1;177;198.0000;0.942758;128;Manuel depuis fit 198.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;35.0;1229292.28;69149.41;Capteur 2;3;2;179;180.0000;0.966171;124;Manuel depuis fit 180.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;36.0;1016027.68;77020.53;Capteur 2;3;0;200;198.0000;0.982938;101;Manuel depuis fit 198.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;36.0;1016027.68;77020.53;Capteur 2;3;1;198;216.0000;0.952892;102;Manuel depuis fit 216.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;36.0;1016027.68;77020.53;Capteur 2;3;2;196;198.0000;0.984339;100;Manuel depuis fit 198.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;37.0;791146.97;79910.69;Capteur 2;3;0;219;216.0000;0.971155;107;Manuel depuis fit 216.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;37.0;791146.97;79910.69;Capteur 2;3;1;215;225.0000;0.938327;104;Manuel depuis fit 225.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;37.0;791146.97;79910.69;Capteur 2;3;2;215;207.0000;0.973434;109;Manuel depuis fit 207.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;38.0;557209.27;80381.41;Capteur 2;3;0;230;225.0000;0.888060;94;Manuel depuis fit 225.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;38.0;557209.27;80381.41;Capteur 2;3;1;230;225.0000;0.863509;109;Manuel depuis fit 225.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;38.0;557209.27;80381.41;Capteur 2;3;2;230;216.0000;0.890235;110;Manuel depuis fit 216.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;39.0;336842.21;66520.31;Capteur 2;3;0;240;225.0000;0.881831;95;Manuel depuis fit 225.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;39.0;336842.21;66520.31;Capteur 2;3;1;240;225.0000;0.107723;107;Manuel depuis fit 225.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;39.0;336842.21;66520.31;Capteur 2;3;2;240;225.0000;0.895478;102;Manuel depuis fit 225.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;40.0;165470.33;51834.72;Capteur 2;3;0;250;216.0000;0.924945;95;Manuel depuis fit 216.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;40.0;165470.33;51834.72;Capteur 2;3;1;250;225.0000;-1.778069;109;Manuel depuis fit 225.00
tribeast1_IC3_dual_scan_long_20260608_111824.csv;40.0;165470.33;51834.72;Capteur 2;3;2;250;216.0000;0.934291;109;Manuel depuis fit 216.00
