adc;energy_eV;energy_MeV;fit_a_eV_per_ADC;fit_b_eV
4904.160356;1574333.075613;1.574333076;301.805063948065;94232.645876
4916.732432;1578127.391932;1.578127392;301.805063948065;94232.645876
4929.304508;1581921.708250;1.581921708;301.805063948065;94232.645876
4941.876585;1585716.024568;1.585716025;301.805063948065;94232.645876
4954.448661;1589510.340887;1.589510341;301.805063948065;94232.645876
4967.020738;1593304.657205;1.593304657;301.805063948065;94232.645876
4979.592814;1597098.973524;1.597098974;301.805063948065;94232.645876
4992.164890;1600893.289842;1.600893290;301.805063948065;94232.645876
5004.736967;1604687.606160;1.604687606;301.805063948065;94232.645876
5017.309043;1608481.922479;1.608481922;301.805063948065;94232.645876
5029.881119;1612276.238797;1.612276239;301.805063948065;94232.645876
5042.453196;1616070.555116;1.616070555;301.805063948065;94232.645876
5055.025272;1619864.871434;1.619864871;301.805063948065;94232.645876
5067.597349;1623659.187752;1.623659188;301.805063948065;94232.645876
5080.169425;1627453.504071;1.627453504;301.805063948065;94232.645876
5092.741501;1631247.820389;1.631247820;301.805063948065;94232.645876
5105.313578;1635042.136707;1.635042137;301.805063948065;94232.645876
5117.885654;1638836.453026;1.638836453;301.805063948065;94232.645876
5130.457731;1642630.769344;1.642630769;301.805063948065;94232.645876
5143.029807;1646425.085663;1.646425086;301.805063948065;94232.645876
5155.601883;1650219.401981;1.650219402;301.805063948065;94232.645876
5168.173960;1654013.718299;1.654013718;301.805063948065;94232.645876
5180.746036;1657808.034618;1.657808035;301.805063948065;94232.645876
5193.318113;1661602.350936;1.661602351;301.805063948065;94232.645876
5205.890189;1665396.667255;1.665396667;301.805063948065;94232.645876
5218.462265;1669190.983573;1.669190984;301.805063948065;94232.645876
5231.034342;1672985.299891;1.672985300;301.805063948065;94232.645876
5243.606418;1676779.616210;1.676779616;301.805063948065;94232.645876
5256.178494;1680573.932528;1.680573933;301.805063948065;94232.645876
5268.750571;1684368.248847;1.684368249;301.805063948065;94232.645876
5281.322647;1688162.565165;1.688162565;301.805063948065;94232.645876
5293.894724;1691956.881483;1.691956881;301.805063948065;94232.645876
5306.466800;1695751.197802;1.695751198;301.805063948065;94232.645876
5319.038876;1699545.514120;1.699545514;301.805063948065;94232.645876
5331.610953;1703339.830439;1.703339830;301.805063948065;94232.645876
5344.183029;1707134.146757;1.707134147;301.805063948065;94232.645876
5356.755106;1710928.463075;1.710928463;301.805063948065;94232.645876
5369.327182;1714722.779394;1.714722779;301.805063948065;94232.645876
5381.899258;1718517.095712;1.718517096;301.805063948065;94232.645876
5394.471335;1722311.412031;1.722311412;301.805063948065;94232.645876
5407.043411;1726105.728349;1.726105728;301.805063948065;94232.645876
5419.615488;1729900.044667;1.729900045;301.805063948065;94232.645876
5432.187564;1733694.360986;1.733694361;301.805063948065;94232.645876
5444.759640;1737488.677304;1.737488677;301.805063948065;94232.645876
5457.331717;1741282.993623;1.741282994;301.805063948065;94232.645876
5469.903793;1745077.309941;1.745077310;301.805063948065;94232.645876
5482.475869;1748871.626259;1.748871626;301.805063948065;94232.645876
5495.047946;1752665.942578;1.752665943;301.805063948065;94232.645876
5507.620022;1756460.258896;1.756460259;301.805063948065;94232.645876
5520.192099;1760254.575214;1.760254575;301.805063948065;94232.645876
5532.764175;1764048.891533;1.764048892;301.805063948065;94232.645876
5545.336251;1767843.207851;1.767843208;301.805063948065;94232.645876
5557.908328;1771637.524170;1.771637524;301.805063948065;94232.645876
5570.480404;1775431.840488;1.775431840;301.805063948065;94232.645876
5583.052481;1779226.156806;1.779226157;301.805063948065;94232.645876
